,Artist,Streams,Daily,As lead,Solo,As Feature
0,Drake,86670.0,120.077,58453.7,33249.1,28216.3
1,Bad Bunny,68870.7,48.997,41709.8,23535.1,27160.9
2,Taylor Swift,60244.0,77.824,57917.6,52613.5,2326.4
3,The Weeknd,54921.7,41.466,43654.5,31770.4,11267.2
4,Ed Sheeran,48443.9,18.335,43228.6,34307.3,5215.3
5,Justin Bieber,48116.4,18.285,28336.1,17387.2,19780.3
6,Eminem,42548.9,18.8,35944.6,21861.9,6604.3
7,Ariana Grande,40678.5,15.84,33609.4,23566.0,7069.1
8,J Balvin,39096.8,10.991,17617.9,5734.4,21478.9
9,Post Malone,38549.3,16.662,34991.1,19255.0,3558.2
10,Travis Scott,38383.1,28.159,19457.9,15289.8,18925.2
11,Kanye West,38340.3,21.648,27738.9,18373.6,10601.4
12,BTS,36185.1,13.166,32369.9,29296.8,3815.2
13,Rihanna,36094.5,20.566,25848.3,17052.1,10246.2
14,Ozuna,33713.5,12.665,14139.3,6281.6,19574.2
15,Juice WRLD,32709.1,11.928,23885.3,18494.3,8823.8
16,Future,31582.8,18.063,15588.7,7422.8,15994.0
17,Nicki Minaj,31174.2,13.349,10842.6,6126.9,20331.6
18,Kendrick Lamar,30301.6,14.54,20382.9,12397.1,9918.7
19,Billie Eilish,29711.6,16.87,29711.6,25729.0,0.0
20,XXXTENTACION,28695.0,10.288,24965.3,20474.8,3729.6
21,Chris Brown,28675.9,12.043,15088.1,7164.2,13587.7
22,Imagine Dragons,28529.2,14.203,26847.7,22895.4,1681.5
23,Khalid,28016.7,7.936,14878.0,9827.1,13138.7
24,Bruno Mars,27991.4,17.408,21328.1,17565.3,6663.2
25,Coldplay,27952.0,14.236,25549.1,22689.9,2402.9
26,Dua Lipa,27645.7,13.714,18083.6,14368.2,9562.1
27,Daddy Yankee,27557.4,12.425,12666.3,6497.6,14891.2
28,Lil Wayne,26984.3,10.331,10145.9,2825.2,16838.4
29,David Guetta,25650.5,13.49,18780.7,908.4,6869.8
30,Lil Baby,24058.5,12.214,11816.2,5430.3,12242.3
31,Anuel AA,23945.3,14.827,10990.2,3308.7,12955.1
32,21 Savage,23708.3,23.378,9329.8,4882.9,14378.5
33,Maroon 5,23706.2,10.118,23509.1,15074.9,197.1
34,Lil Uzi Vert,23167.9,9.8,14883.3,11940.7,8284.6
35,Maluma,23017.7,11.03,12713.0,7850.5,10304.7
36,Beyoncé,22326.6,11.426,18381.7,13885.8,3944.9
37,Calvin Harris,22176.7,10.335,20539.5,3631.8,1637.3
38,Shawn Mendes,22123.7,6.988,21523.9,16523.1,599.9
39,Young Thug,21836.3,8.588,7446.5,1878.8,14389.8
40,Rauw Alejandro,21745.8,16.087,11802.3,4403.6,9943.4
41,Sia,21651.4,8.194,14525.7,10581.7,7125.7
42,Sam Smith,21414.5,9.151,18281.8,13717.8,3132.7
43,J. Cole,21392.7,16.377,16329.5,13051.2,5063.2
44,Farruko,21010.6,7.564,5734.7,3200.2,15275.9
45,Lana Del Rey,20755.8,22.516,18811.3,16931.9,1944.4
46,Queen,19988.7,9.363,19935.1,18415.2,53.6
47,Nicky Jam,19473.4,5.329,7855.6,2060.5,11617.8
48,Selena Gomez,19444.4,8.742,11681.1,8382.4,7763.2
49,Harry Styles,19258.4,11.517,19258.4,19258.4,0.0
50,Halsey,19230.1,6.021,10611.7,9373.0,8618.4
51,Lady Gaga,19031.8,9.767,18622.5,12336.8,409.4
52,One Direction,18972.1,8.395,18972.1,18890.4,0.0
53,Myke Towers,18694.4,16.718,6121.7,4121.6,12572.7
54,KAROL G,18463.4,26.483,12945.8,5844.1,5517.5
55,Doja Cat,18451.2,20.662,14945.4,10431.2,3505.7
56,Ty Dolla $ign,18451.0,4.691,3954.3,275.7,14496.8
57,Adele,18251.2,10.759,18209.0,18083.5,42.2
58,Wiz Khalifa,17723.9,5.994,8123.7,3092.5,9600.2
59,Shakira,17706.3,14.798,13442.4,6239.3,4263.9
60,The Chainsmokers,17625.1,4.993,17194.2,3098.6,430.9
61,SZA,17419.9,24.366,10969.1,8167.5,6450.8
62,Cardi B,17204.8,5.255,7927.2,3141.5,9277.6
63,Katy Perry,17138.1,9.014,14901.5,11312.7,2236.6
64,The Beatles,16899.3,7.814,16897.1,16893.4,2.2
65,Linkin Park,16523.9,9.268,15313.3,14316.4,1210.7
66,Marshmello,16496.3,7.131,12262.8,1432.1,4233.5
67,DaBaby,16158.8,5.001,7580.9,4216.6,8578.0
68,Gunna,16073.7,10.434,5386.0,2852.1,10687.7
69,Camila Cabello,16029.1,4.907,9075.5,4693.6,6953.6
70,Miley Cyrus,15713.7,10.397,13491.5,11731.7,2222.2
71,JAY-Z,15588.7,8.083,8498.2,1925.2,7090.5
72,Arctic Monkeys,15519.6,12.85,15519.6,15519.6,0.0
73,Avicii,15328.6,5.622,14343.8,9564.9,984.8
74,Kygo,15190.7,3.671,13556.8,202.2,1634.0
75,Quavo,15174.1,4.859,1718.6,634.2,13455.4
76,A$AP Rocky,15035.9,6.081,8100.3,3143.4,6935.6
77,Pitbull,14789.8,7.251,10132.3,1181.0,4657.6
78,Twenty One Pilots,14775.3,4.647,14775.3,14720.4,0.0
79,Sech,14710.4,5.139,6000.9,1889.3,8709.5
80,Feid,14522.2,24.515,7464.5,4285.9,7057.6
81,Tyga,14057.7,5.315,6115.0,2287.7,7942.6
82,Metro Boomin,13967.7,14.237,6838.2,83.5,7129.5
83,Jason Derulo,13661.8,4.289,10426.4,6273.2,3235.4
84,Trippie Redd,13567.1,5.842,8805.0,4568.2,4762.1
85,Snoop Dogg,13523.8,6.461,5161.4,1219.3,8362.4
86,Demi Lovato,13476.1,4.973,8558.1,7525.2,4918.0
87,Red Hot Chili Peppers,13459.8,6.989,13459.8,13459.2,0.0
88,OneRepublic,13332.5,7.35,12314.9,10722.5,1017.6
89,Frank Ocean,13314.1,8.21,10454.7,9643.7,2859.4
90,Tyler The Creator,13270.2,8.666,11088.4,5784.2,2181.8
91,Olivia Rodrigo,13059.1,21.643,13057.0,11820.9,2.1
92,Bebe Rexha,13036.5,5.356,4818.4,2360.9,8218.2
93,Big Sean,12783.2,2.925,5970.6,1941.8,6812.6
94,A Boogie Wit da Hoodie,12753.9,5.983,8244.4,4273.0,4509.5
95,Migos,12721.5,3.204,8540.3,3976.8,4181.2
96,Mac Miller,12692.6,6.549,11708.4,9053.3,984.2
97,Michael Jackson,12615.9,6.95,11986.3,11030.6,629.6
98,Pop Smoke,12551.5,5.76,11332.7,5925.4,1218.8
99,Charlie Puth,12507.2,6.366,9955.7,5904.2,2551.5
100,Swae Lee,12414.5,5.561,371.6,116.0,12042.9
101,Arcángel,12400.2,7.514,4615.8,1029.2,7784.4
102,Sebastian Yatra,12043.1,5.96,7871.5,3257.3,4171.6
103,Kodak Black,12032.3,5.988,8014.3,4868.2,4018.0
104,YoungBoy Never Broke Again,11966.9,6.547,8804.8,7671.8,3162.0
105,Morgan Wallen,11919.9,15.572,10661.3,10006.9,1258.6
106,G-Eazy,11873.8,2.89,8835.1,1297.8,3038.7
107,Elton John,11850.4,7.254,10686.9,7537.3,1163.5
108,Tiësto,11821.6,6.731,9394.6,2432.1,2427.0
109,Diplo,11753.8,3.703,3717.1,29.7,8036.7
110,Gucci Mane,11576.1,3.201,5380.7,1102.6,6195.4
111,50 Cent,11552.2,7.275,7851.4,4672.7,3700.8
112,BLACKPINK,11545.8,8.328,10602.3,9889.1,943.4
113,Alan Walker,11432.1,5.91,9552.1,3911.9,1880.0
114,Ellie Goulding,11411.4,4.638,8314.7,6374.9,3096.7
115,2 Chainz,11396.3,2.616,3394.2,783.6,8002.2
116,Metallica,11390.3,5.965,11346.6,11210.0,43.7
117,$uicideboy$,11368.8,10.455,11045.3,8864.6,323.5
118,DJ Snake,11310.0,3.568,8649.9,415.2,2660.1
119,Lil Peep,11251.1,5.741,10703.3,6131.2,547.8
120,Romeo Santos,11225.8,6.99,7716.0,4308.2,3509.8
121,Polo G,11221.4,5.798,7969.2,5184.5,3252.3
122,Manuel Turizo,11163.8,8.484,5501.2,3590.9,5662.7
123,Arijit Singh,11130.5,23.791,4065.6,2431.3,7064.9
124,Daft Punk,11121.7,5.77,6730.3,4019.4,4391.5
125,Logic,11023.9,2.238,8890.5,4717.0,2133.4
126,Justin Timberlake,10992.2,5.751,7982.1,5640.7,3010.1
127,P!nk,10991.6,5.821,9936.2,7437.9,1055.4
128,Panic! At The Disco,10895.5,3.136,10114.4,9787.4,781.1
129,Sean Paul,10832.1,4.898,5294.8,2117.6,5537.3
130,Marília Mendonça,10796.7,5.126,7897.9,5327.8,2898.8
131,Justin Quiles,10632.1,4.155,3306.3,1480.5,7325.7
132,Jhayco,10629.5,11.095,4418.1,1028.1,6211.4
133,Lil Nas X,10620.3,3.435,10620.3,5970.5,0.0
134,Die drei ???,10562.4,5.31,10562.4,10536.2,0.0
135,Roddy Ricch,10553.3,3.605,4994.9,3642.4,5558.4
136,Martin Garrix,10524.1,2.827,9490.2,749.9,1034.0
137,Playboi Carti,10375.0,9.717,7486.9,4849.0,2888.1
138,James Arthur,10338.5,7.19,9295.5,8171.6,1043.0
139,Offset,10308.7,3.76,2436.0,374.6,7872.7
140,AC/DC,10271.5,5.568,10271.5,10271.5,0.0
141,Tory Lanez,10261.3,5.374,6407.4,4175.7,3853.9
142,Major Lazer,10252.4,2.51,9058.5,33.0,1193.9
143,Pharrell Williams,10153.1,3.705,2475.2,1899.3,7677.8
144,Fall Out Boy,10115.7,4.638,9110.3,8394.0,1005.4
145,blackbear,10080.4,2.59,6944.9,5564.6,3135.5
146,Lenny Tavárez,10073.9,3.91,730.9,144.9,9342.9
147,The Neighbourhood,9999.0,8.295,9994.5,9619.3,4.5
148,Disney,9961.8,5.968,0.0,0.0,9961.8
149,John Mayer,9959.6,3.589,9307.2,9053.5,652.4
150,Kid Cudi,9931.5,4.757,7202.3,3948.2,2729.2
151,Wisin,9922.2,2.511,3597.4,491.0,6324.8
152,Lil Durk,9880.5,6.686,4159.6,1779.7,5720.8
153,NF,9858.2,5.582,9704.8,8742.9,153.3
154,USHER,9791.0,5.248,7059.1,3057.9,2731.9
155,Luis Miguel,9755.4,7.149,9748.6,9738.1,6.8
156,5 Seconds of Summer,9591.4,4.107,9001.4,8555.9,590.0
157,Machine Gun Kelly,9586.2,3.152,8279.8,3204.3,1306.4
158,Joji,9569.2,5.692,8781.3,7731.5,787.8
159,Zedd,9464.2,2.323,6436.8,207.5,3027.4
160,Chance the Rapper,9419.8,2.058,3737.4,629.1,5682.4
161,Flo Rida,9411.3,4.085,7603.2,3439.4,1808.1
162,Becky G,9405.0,5.317,5931.7,1561.7,3473.3
163,Robin Schulz,9380.2,3.258,5593.2,303.4,3787.0
164,Nirvana,9366.4,5.64,9366.4,9365.9,0.0
165,Britney Spears,9333.2,5.291,8095.1,7600.1,1238.1
166,Anne-Marie,9326.1,4.665,3879.5,2995.8,5446.6
167,The Kid LAROI,9314.3,4.131,8166.1,3326.1,1148.2
168,Lewis Capaldi,9300.2,5.762,9300.2,8900.4,0.0
169,Akon,9278.0,5.92,4209.3,2258.4,5068.7
170,Lauv,9271.0,3.656,8391.7,5627.5,879.4
171,Macklemore,9269.1,3.799,2220.6,319.8,7048.5
172,Anitta,9246.9,3.899,4582.2,1997.4,4664.7
173,Luke Combs,9232.6,8.551,8837.1,8344.1,395.5
174,ZAYN,9205.3,2.904,8296.6,4256.0,908.7
175,ROSALÍA,9195.3,6.219,6194.7,3311.7,3000.6
176,Duki,9164.5,8.589,4382.3,1890.7,4782.2
177,Black Eyed Peas,9163.9,5.068,8861.6,6094.3,302.3
178,Bizarrap,9129.2,19.414,7717.1,67.5,1412.1
179,French Montana,9121.8,2.388,4439.5,287.3,4682.2
180,Zion & Lennox,9078.1,2.94,3347.3,1672.9,5730.8
181,Green Day,9055.7,5.841,8977.0,8973.5,78.6
182,Zara Larsson,9020.0,3.255,6022.2,4450.0,2997.8
183,Lil Yachty,9010.5,6.606,3552.0,1370.2,5458.5
184,Little Mix,9008.2,2.331,7777.3,5645.3,1230.8
185,Don Omar,9003.3,7.103,7210.0,3799.0,1793.3
186,Camilo,8975.9,4.053,5422.5,2458.8,3553.3
187,John Legend,8912.0,2.547,5566.3,4425.2,3345.7
188,Lil Tjay,8907.7,5.135,5989.5,3358.4,2918.1
189,DJ Khaled,8884.2,3.348,8285.4,432.2,598.8
190,Bob Marley & The Wailers,8763.9,4.754,8669.3,7978.3,94.6
191,Fleetwood Mac,8710.1,6.689,8710.0,8709.6,0.1
192,Pritam,8673.3,16.041,7473.4,4.1,1199.9
193,Jorge & Mateus,8641.9,4.391,6416.5,6357.6,2225.4
194,Skrillex,8574.3,3.077,3983.9,1117.6,4590.3
195,Henrique & Juliano,8573.1,8.534,7021.2,6784.0,1551.9
196,Peso Pluma,8569.3,35.276,4024.5,1226.1,4544.8
197,Pink Floyd,8507.0,4.3,8507.0,8505.1,0.0
198,2Pac,8481.8,5.268,8282.0,3517.0,199.7
199,Childish Gambino,8470.1,4.704,7784.5,7333.4,685.7
200,Enrique Iglesias,8397.2,3.859,6977.4,2020.7,1419.8
201,Rick Ross,8340.3,3.156,2386.6,573.3,5953.7
202,Dr. Dre,8324.7,4.931,5427.6,370.3,2897.1
203,Guns N' Roses,8309.7,4.697,8309.7,8309.7,0.0
204,Ava Max,8306.9,4.824,5847.5,5424.8,2459.3
